Companies House,2,4,10,10+,,ONS,,,,,total,,,,,,
E07000116,2032,1455,2331,2719,,E07000116,850,690,1575,2440,5555,,3.74468406327689,3.30792370361188,3.16286299332193,3.36754227352058,3.4344092075875
E07000117,705,366,739,653,,E07000117,360,235,600,930,2125,,3.32735893438633,2.8481891169914,2.56348108539441,2.86864443839483,2.81491318127507
E07000118,1228,780,1375,1124,,E07000118,550,430,1030,1570,3580,,3.55388302664387,3.08919836680515,2.89209460269048,3.13830269816628,3.05076631123304
E07000119,2026,866,1326,1423,,E07000119,425,355,785,1260,2825,,3.45101845215546,3.30663944102426,2.93751789201735,3.12254352406875,3.15320490008428
E07000120,645,378,654,653,,E07000120,275,230,545,955,2005,,3.3021143769562,2.80955971463527,2.57749179983722,2.81557774832427,2.81491318127507
E07000121,1080,639,1235,1239,,E07000121,520,385,1040,2015,3960,,3.59769518592551,3.03342375548695,2.8055008581584,3.09166695759568,3.09307130637606
E07000122,707,394,732,737,,E07000122,370,270,615,1205,2460,,3.39093510710338,2.8494194137969,2.59549622182557,2.86451108105839,2.86746748785905
E07000123,1916,1160,1874,2004,,E07000123,715,515,1115,1910,4255,,3.62889956442061,3.28239550474253,3.06445798922692,3.27276958655176,3.30189771719521
E07000124,718,500,879,855,,E07000124,395,320,770,1550,3035,,3.48215869541128,2.8561244442423,2.69897000433602,2.94398887507377,2.93196611472817
E07000125,592,389,710,680,,E07000125,305,280,610,1035,2230,,3.34830486304816,2.77232170672292,2.58994960132571,2.85125834871907,2.83250891270624
E07000126,952,566,1118,1114,,E07000126,555,410,960,1490,3415,,3.53339070801755,2.97863694838447,2.75281643118827,3.0484418035504,3.04688519083771
E07000127,1151,745,1325,1195,,E07000127,575,430,940,1885,3830,,3.58319877396862,3.06107532362979,2.87215627274829,3.12221587827283,3.07736790528416
E07000128,886,531,974,1042,,E07000128,475,385,915,1845,3620,,3.55870857053317,2.94743372188705,2.72509452108147,2.98855895687862,3.01786771896351
E07000129,1078,623,1347,1318,,E07000129,555,425,1000,1380,3360,,3.52633927738984,3.03261876085072,2.79448804665917,3.12936759572299,3.11991541025799
E07000130,1551,957,1821,1886,,E07000130,780,625,1415,2455,5275,,3.72222246396973,3.1906117978136,2.98091193777684,3.26030994579492,3.27554168840131
E07000131,1114,871,1487,1354,,E07000131,620,535,1175,2150,4480,,3.65127801399814,3.04688519083771,2.94001815500766,3.17231096852195,3.13161866434912
E07000132,895,524,1007,1035,,E07000132,565,455,1055,1820,3895,,3.59050746200858,2.95182303531591,2.71933128698373,3.00302947055362,3.01494034979294
E07000133,440,288,463,526,,E07000133,330,245,505,1165,2245,,3.35121634533934,2.64345267648619,2.45939248775923,2.66558099101795,2.72098574415374
E07000134,829,556,1154,1536,,E07000134,580,400,965,1695,3640,,3.56110138364906,2.91855453055027,2.74507479158206,3.06220580881971,3.18639121569549
E07000135,561,312,459,444,,E07000135,295,210,390,675,1570,,3.19589965240923,2.74896286125616,2.49415459401844,2.66181268553726,2.64738297011462
E07000136,482,267,470,508,,E07000136,280,170,435,1085,1970,,3.29446622616159,2.68304703823885,2.42651126136457,2.67209785793572,2.70586371228392
E07000137,766,439,898,1302,,E07000137,535,370,1160,3010,5075,,3.70543604658525,2.8842287696326,2.64246452024212,2.9532763366673,3.11461098423217
E07000138,978,652,981,1072,,E07000138,365,240,570,930,2105,,3.32325210017169,2.9903388547876,2.81424759573192,2.99166900737995,3.03019478535675
E07000139,2428,702,914,880,,E07000139,825,490,920,1780,4015,,3.6036855496147,3.38524868240322,2.8463371121298,2.96094619573383,2.94448267215017
E07000140,870,469,841,834,,E07000140,465,290,695,1795,3245,,3.51121470113639,2.93951925261862,2.67117284271508,2.92479599579791,2.92116605063774
